sku_id,sku_name,category,unit_of_measure,date,opening_units,received_units,sold_units,spoilage_units,closing_units
1000,Apple_Gala,Fruit,lb,14-10-2024,575,0,76,15,484
1000,Apple_Gala,Fruit,lb,15-10-2024,484,0,110,10,364
1000,Apple_Gala,Fruit,lb,16-10-2024,364,336,95,9,596
1000,Apple_Gala,Fruit,lb,17-10-2024,596,316,117,21,774
1000,Apple_Gala,Fruit,lb,18-10-2024,774,0,66,18,690
1000,Apple_Gala,Fruit,lb,19-10-2024,690,0,128,26,536
1000,Apple_Gala,Fruit,lb,20-10-2024,536,252,112,15,661
1000,Apple_Gala,Fruit,lb,21-10-2024,661,0,86,20,555
1000,Apple_Gala,Fruit,lb,22-10-2024,555,287,106,15,721
1000,Apple_Gala,Fruit,lb,23-10-2024,721,0,102,16,603
1000,Apple_Gala,Fruit,lb,24-10-2024,603,0,101,16,486
1000,Apple_Gala,Fruit,lb,25-10-2024,486,288,94,9,671
1000,Apple_Gala,Fruit,lb,26-10-2024,671,315,108,16,862
1000,Apple_Gala,Fruit,lb,27-10-2024,862,346,97,39,1072
1000,Apple_Gala,Fruit,lb,28-10-2024,1072,0,65,27,980
1000,Apple_Gala,Fruit,lb,29-10-2024,980,0,101,29,850
1000,Apple_Gala,Fruit,lb,30-10-2024,850,232,75,20,987
1000,Apple_Gala,Fruit,lb,31-10-2024,987,304,103,24,1164
1000,Apple_Gala,Fruit,lb,01-11-2024,1164,0,109,42,1013
1000,Apple_Gala,Fruit,lb,02-11-2024,1013,0,120,26,867
1000,Apple_Gala,Fruit,lb,03-11-2024,867,0,112,21,734
1000,Apple_Gala,Fruit,lb,04-11-2024,734,0,106,27,601
1000,Apple_Gala,Fruit,lb,05-11-2024,601,0,95,12,494
1000,Apple_Gala,Fruit,lb,06-11-2024,494,0,74,26,394
1000,Apple_Gala,Fruit,lb,07-11-2024,394,0,93,15,286
1000,Apple_Gala,Fruit,lb,08-11-2024,286,0,100,3,183
1000,Apple_Gala,Fruit,lb,09-11-2024,183,0,83,4,96
1000,Apple_Gala,Fruit,lb,10-11-2024,96,268,132,2,230
1000,Apple_Gala,Fruit,lb,11-11-2024,230,332,84,9,469
1000,Apple_Gala,Fruit,lb,12-11-2024,469,283,68,10,674
1000,Apple_Gala,Fruit,lb,13-11-2024,674,0,85,13,576
